testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T1-Ls,4572.0999999940395,36215.09999999404,5694.700000017881,36217.20000001788,10000
(index):308 LayerVSMatch,idle,T1-Ls,2583.7999999821186,58429.59999999404,8397.800000011921,58435.30000001192,10000
(index):308 LayerVSMatch,idle,T2-Ls2,4346.700000017881,5949.5,1685.699999988079,5949.5,10000
(index):308 LayerVSMatch,idle,T3-Ls,695.8000000119209,13366.799999982119,2213.7999999821186,13370.199999988079,10000
(index):308 LayerVSMatch,idle,T2-Pt,3952.199999988079,5015.9000000059605,2359.0999999940395,5118.5999999940395,10000
(index):308 LayerVSMatch,idle,T1-Ls,660.5,31817,2233.5,31820.19999998808,10000
(index):308 LayerVSMatch,idle,T2-Ls,4566.299999982119,5861.700000017881,2484.300000011921,6080.5,10000
(index):308 LayerVSMatch,idle,T3-Pt,602.0999999940395,13887.90000000596,2537.300000011921,13889.5,10000
(index):308 LayerVSMatch,idle,T3-Ls,2310,15421.40000000596,4259.800000011921,15423.90000000596,10000
(index):308 LayerVSMatch,idle,T1-Pt,4975.300000011921,31918.90000000596,4871.0999999940395,31921.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls,4298.300000011921,4929.199999988079,2215.2999999821186,5125.699999988079,10000
(index):308 LayerVSMatch,idle,T1-Ls,625.1999999880791,26794.30000001192,2405.800000011921,26797.59999999404,10000
(index):308 LayerVSMatch,idle,T2-Pt,3406.5,4221.4000000059605,2093.600000023842,4291,10000
(index):308 LayerVSMatch,idle,T1-Pt,606.8000000119209,22467.09999999404,2647.699999988079,22469.90000000596,10000
(index):308 LayerVSMatch,idle,T1-Ls,4364.299999982119,28218.70000001788,4462.5,28221.40000000596,10000
(index):308 LayerVSMatch,idle,T2-Ls2,5064.399999976158,3985.600000023842,1050,3985.7000000178814,10000
(index):308 LayerVSMatch,idle,T3-Ls,536.7999999821186,10202.5,1822.7000000178814,10203.800000011921,10000
(index):308 LayerVSMatch,idle,T3-Ls,4933.699999988079,16777.80000001192,4600.800000011921,16779.59999999404,10000
(index):308 LayerVSMatch,idle,T3-Pt,4320.299999982119,33356.09999999404,8200.700000017881,33359.70000001788,10000
(index):308 LayerVSMatch,idle,T2-Pt,6845.899999976158,6285.600000023842,1422.300000011921,6489.800000011921,10000
(index):308 LayerVSMatch,idle,T3-Ls,845.7000000178814,23927.899999976158,3767,23928.899999976158,10000
(index):308 LayerVSMatch,idle,T3-Pt,2312.7999999821186,8947.40000000596,3191,8948.700000017881,10000
(index):308 LayerVSMatch,idle,T2-Ls,3968.4000000059605,5227.4000000059605,2512,5227.5999999940395,10000
(index):308 LayerVSMatch,idle,T1-Pt,688.4000000059605,29345.30000001192,3261,29347.69999998808,10000
(index):308 LayerVSMatch,idle,T2-Ls,3453.5999999940395,3516.699999988079,1573.9000000059605,3700.5999999940395,10000
(index):308 LayerVSMatch,idle,T2-Ls,594.8000000119209,2595.2999999821186,342.5,2598.5,10000
(index):308 LayerVSMatch,idle,T1-Pt,614,28969.79999998212,2558.2999999821186,28973.29999998212,10000
(index):308 LayerVSMatch,idle,T2-Pt,3917.4000000059605,4917.5,2684.7000000178814,4920.5,10000
(index):308 LayerVSMatch,idle,T2-Ls2,607,4131,1063.9000000059605,4372,10000
(index):308 LayerVSMatch,idle,T2-Pt,560.5,2837,714.0999999940395,2961.2000000178814,10000
(index):308 LayerVSMatch,idle,T3-Pt,599.9000000059605,13538.399999976158,1819.2999999821186,13541,10000
(index):308 LayerVSMatch,idle,T3-Ls,2082.4000000059605,15546.300000011921,4216.5999999940395,15547.59999999404,10000
(index):308 LayerVSMatch,idle,T1-Pt,2846.699999988079,20210.5,2677.300000011921,20211.20000001788,10000
